Write_Ratio,Thread_Count,Throughput
0.02,1,6.6386539
0.02,2,10.3238449
0.02,3,14.2215397
0.02,4,17.554411966666667
0.02,5,19.0969896
0.02,6,17.9882311
0.02,7,15.0230931
0.02,8,12.783456266666667
0.2,1,6.319474
0.2,2,9.522745933333333
0.2,3,12.082481433333333
0.2,4,10.406310566666667
0.2,5,8.406519866666667
0.2,6,7.4423516
0.2,7,6.9547424
0.2,8,6.719705466666667
0.4,1,6.2049564
0.4,2,9.054071733333332
0.4,3,10.042067033333332
0.4,4,7.5755009666666675
0.4,5,6.5460812
0.4,6,6.0245972666666665
0.4,7,5.715411566666666
0.4,8,5.4630805
